City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
240,Talnakh,RU,2020-06-18 20:39:58,69.49,88.4,279.15,81,92,6.0
241,Merauke,ID,2020-06-18 20:43:01,-8.47,140.33,298.91,78,70,7.47
242,Lavrentiya,RU,2020-06-18 20:39:52,65.58,-171.0,284.01,59,0,2.41
243,Weyburn,CA,2020-06-18 20:43:01,49.67,-103.85,282.59,84,100,8.05
244,Nakamura,JP,2020-06-18 20:43:01,32.98,132.93,297.04,94,100,3.99
245,Kruisfontein,ZA,2020-06-18 20:39:44,-34.0,24.73,287.36,43,0,3.09
246,Kampot,KH,2020-06-18 20:43:02,10.62,104.18,300.15,83,20,1.0
247,Korla,CN,2020-06-18 20:41:07,41.76,86.15,301.48,46,31,6.57
248,Adwa,ET,2020-06-18 20:43:02,14.16,38.9,291.61,65,97,0.91
249,Novo Aripuana,BR,2020-06-18 20:43:02,-5.12,-60.38,303.15,65,93,0.91
250,Korhogo,CI,2020-06-18 20:43:03,9.45,-5.63,297.86,83,100,3.78
251,Bengkulu,ID,2020-06-18 20:35:55,-3.8,102.27,297.44,88,98,2.03
252,Acarau,BR,2020-06-18 20:43:03,-2.89,-40.12,299.68,78,30,5.29
253,Saint George,US,2020-06-18 20:40:12,37.1,-113.58,304.26,12,1,3.6
254,Asuncion,PY,2020-06-18 20:39:50,-25.3,-57.64,302.15,54,75,3.1
255,Kavaratti,IN,2020-06-18 20:40:22,10.57,72.64,302.23,80,98,7.43
256,Sebrovo,RU,2020-06-18 20:43:04,50.1,43.3,296.48,60,29,2.68
257,Opuwo,NA,2020-06-18 20:43:04,-18.06,13.84,287.49,44,0,3.51
258,Borba,BR,2020-06-18 20:43:04,-4.39,-59.59,303.58,64,100,0.76
259,Wamba,NG,2020-06-18 20:43:04,8.93,8.6,295.72,91,98,0.8
260,Witu,KE,2020-06-18 20:43:05,-2.39,40.44,297.68,83,46,6.03
261,Vagur,FO,2020-06-18 20:43:05,61.47,-6.81,284.23,91,100,3.58
262,Rajauri,IN,2020-06-18 20:43:05,33.38,74.3,299.84,17,0,3.43
263,Iquitos,PE,2020-06-18 20:43:05,-3.75,-73.25,303.15,70,75,2.1
264,Okhotsk,RU,2020-06-18 20:40:54,59.38,143.3,281.18,90,90,1.17
265,Black River,JM,2020-06-18 20:43:05,18.03,-77.85,302.15,79,40,2.1
266,Santa Rosa,PH,2020-06-18 20:43:06,14.31,121.11,301.15,83,90,2.1
267,Cobija,BO,2020-06-18 20:43:06,-11.03,-68.77,304.95,47,5,1.21
268,Conde,BR,2020-06-18 20:43:06,-7.26,-34.91,295.15,100,90,1.0
269,Priyutnoye,RU,2020-06-18 20:43:06,46.1,43.51,298.15,36,89,5.81
270,Torbay,CA,2020-06-18 20:39:40,47.67,-52.73,294.26,64,90,4.6
271,Kieta,PG,2020-06-18 20:40:55,-6.22,155.63,300.08,78,0,1.11
272,Siteki,SZ,2020-06-18 20:43:07,-26.45,31.95,282.2,99,26,1.73
273,Kouango,CF,2020-06-18 20:43:07,4.99,19.96,295.38,80,100,0.78
274,Leningradskiy,RU,2020-06-18 20:41:20,69.38,178.42,280.17,60,73,2.66
275,Broome,US,2020-06-18 20:43:08,42.25,-75.83,299.82,69,90,4.6
276,Amahai,ID,2020-06-18 20:43:08,-3.33,128.92,300.93,98,61,1.34
277,Ingham,US,2020-06-18 20:43:08,42.6,-84.38,302.15,35,40,2.1
278,Laguna,US,2020-06-18 20:40:51,38.42,-121.42,307.04,11,1,3.6
279,Beringovskiy,RU,2020-06-18 20:41:08,63.05,179.32,283.39,53,0,0.74
280,Rawlins,US,2020-06-18 20:43:09,41.79,-107.24,290.15,21,1,3.1
